year,en_report,no_report
2010,2010_annual_report_equinor.pdf,2010_aarsrapport_equinor.pdf
2011,2011_annual_report_equinor.pdf,2011_aarsrapport_equinor.pdf
2012,2012_annual_report_equinor.pdf,2012_aarsrapport_equinor.pdf
2013,2013_annual_report_equinor.pdf,2013_aarsrapport_equinor.pdf
2014,2014_annual_report_equinor.pdf,2014_aarsrapport_equinor.pdf
2015,2015_annual_report_equinor.pdf,2015_aarsrapport_equinor.pdf
2016,2016_annual_report_equinor.pdf,2016_aarsrapport_equinor.pdf
2017,2017_annual_report_equinor.pdf,2017_aarsrapport_equinor.pdf
2018,2018_annual_report_equinor.pdf,2018_aarsrapport_equinor.pdf
2019,2019_annual_report_equinor.pdf,2019_aarsrapport_equinor.pdf
2020,2020_annual_report_equinor.pdf,2020_aarsrapport_equinor.pdf
2021,2021_annual_report_equinor.pdf,2021_aarsrapport_equinor.pdf
2022,2022_annual_report_equinor.pdf,2022_aarsrapport_equinor.pdf
2023,2023_annual_report_equinor.pdf,2023_aarsrapport_equinor.pdf
2024,2024_annual_report_equinor.pdf,2024_aarsrapport_equinor.pdf